,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,CVX,USD,2020-02-21 00:00:00,2020-02-21 11:40:21,FY,2845000000,0.0,-1966000000,0.0,1927000000,0.0,7000000.0,-109000000,433000000,-2909000000,27314000000,0.0,0.0,-1000000.0,953000000.0,1564000000,0.0,-10432000000,0.0,-4039000000.0,-8959000000,-18000000,0.0,272000000,-3570000000,6911000000,10481000000,27314000000,-14116000000,13198000000,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm
1,2018-12-31,CVX,USD,2019-02-22 00:00:00,2019-02-22 11:25:08,FY,14860000000,0.0,1050000000,0.0,-300000000,0.0,-424000000.0,-494000000,418000000,-954000000,30618000000,0.0,0.0,-1001000000.0,0.0,2111000000,0.0,-10877000000,0.0,-604000000.0,-8502000000,-91000000,0.0,123000000,4538000000,10481000000,5943000000,30618000000,-13792000000,16826000000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/0000093410-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/cvx12312018-10kdoc.htm
2,2017-12-31,CVX,USD,2018-02-22 00:00:00,2018-02-22 11:49:59,FY,9269000000,0.0,-3203000000,0.0,-91000000,0.0,-267000000.0,875000000,-567000000,-2726000000,20515000000,0.0,0.0,-35000000.0,7000000.0,5231000000,0.0,-11452000000,1117000000.0,0.0,-8132000000,-78000000,0.0,131000000,-2175000000,4813000000,6988000000,20515000000,-13404000000,7111000000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/0000093410-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/cvx12312017-10kdoc.htm
3,2016-12-31,CVX,USD,2017-02-23 00:00:00,2017-02-23 12:18:42,FY,-431000000,0.0,-3835000000,0.0,-446000000,0.0,603000000.0,533000000,104000000,-858000000,12846000000,0.0,0.0,-9000000.0,523000000.0,743000000,0.0,-1584000000,650000000.0,0.0,-8032000000,-63000000,0.0,186000000,-4034000000,6988000000,11022000000,12846000000,-18109000000,-5263000000,https://www.sec.gov/Archives/edgar/data/93410/000009341017000013/0000093410-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341017000013/cvx-123116x10kdoc.htm
4,2015-12-31,CVX,USD,2016-02-25 00:00:00,2016-02-25 12:08:14,FY,4710000000,0.0,-1861000000,0.0,-2013000000,0.0,85000000.0,-5769000000,-34000000,-1575000000,19456000000,0.0,0.0,-6000000.0,180000000.0,5522000000,0.0,-367000000,211000000.0,0.0,-7992000000,-128000000,0.0,-82000000,-1763000000,11022000000,12785000000,19456000000,-29504000000,-10048000000,https://www.sec.gov/Archives/edgar/data/93410/000009341016000049/0000093410-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/93410/000009341016000049/cvx-123115x10kdoc.htm
