,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-26,AAPL,USD,2020-10-30,2020-10-29 18:06:25,FY,57411000000,11056000000,-215000000.0,6829000000.0,-18780000000,6917000000.0,-127000000,-4062000000.0,38321000000,0.0,80674000000,-7309000000.0,-1524000000.0,-114938000000.0,0.0,0.0,-4289000000.0,-12629000000.0,880000000.0,-72358000000.0,-14081000000.0,0.0,-86820000000.0,0.0,-10435000000.0,39789000000.0,50224000000,80674000000,7309000000,73365000000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
1,2019-09-28,AAPL,USD,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,55256000000,12547000000,-340000000.0,6068000000.0,41691000000,245000000.0,-289000000,-1923000000.0,57101000000,5416000000.0,69391000000,-10495000000.0,-624000000.0,-107528000000.0,98724000000.0,65819000000.0,45896000000.0,-8805000000.0,781000000.0,-66116000000.0,-14119000000.0,-1936000000.0,-90976000000.0,0.0,24311000000.0,50224000000.0,25913000000,69391000000,-10495000000,58896000000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
2,2018-09-29,AAPL,USD,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,59531000000,10903000000,-32590000000.0,5340000000.0,-12421000000,-5322000000.0,828000000,9175000000.0,15410000000,4896000000.0,77434000000,-13313000000.0,-721000000.0,-74609000000.0,56234000000.0,48475000000.0,16066000000.0,-6500000000.0,669000000.0,-72069000000.0,-13712000000.0,4405000000.0,-87876000000.0,0.0,5624000000.0,25913000000.0,20289000000,77434000000,-13313000000,64121000000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
3,2017-09-30,AAPL,USD,2017-11-03 00:00:00,2017-11-03 08:01:37,FY,48351000000,10157000000,5966000000.0,4840000000.0,-32000000,-2093000000.0,-2723000000,9618000000.0,27831000000,-166000000.0,63598000000,0.0,0.0,-159881000000.0,126339000000.0,220000000.0,0.0,-3500000000.0,555000000.0,-32900000000.0,-12769000000.0,-1247000000.0,0.0,0.0,-195000000.0,20289000000.0,20484000000,63598000000,-12795000000,50803000000,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
4,2016-09-24,AAPL,USD,2016-10-26 00:00:00,2016-10-26 16:42:16,FY,45687000000,10505000000,4938000000.0,4210000000.0,19095000000,1095000000.0,217000000,1791000000.0,27863000000,4696000000.0,66231000000,-12734000000.0,-297000000.0,-31110000000.0,21258000000.0,-23094000000.0,-45977000000.0,-2500000000.0,495000000.0,-29227000000.0,-12150000000.0,23394000000.0,-20890000000.0,0.0,-636000000.0,20484000000.0,21120000000,66231000000,-12734000000,53497000000,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
5,2015-09-26,AAPL,USD,2015-10-28 00:00:00,2015-10-28 16:31:09,FY,53394000000,11257000000,1382000000.0,3586000000.0,3685000000,611000000.0,-238000000,5400000000.0,8768000000,3586000000.0,81266000000,-11247000000.0,-343000000.0,-35253000000.0,14538000000.0,-23969000000.0,-56274000000.0,-1499000000.0,543000000.0,-34710000000.0,-11561000000.0,28555000000.0,-17716000000.0,0.0,7276000000.0,21120000000.0,13844000000,81266000000,-11488000000,69778000000,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
6,2014-09-27,AAPL,USD,2014-10-27 00:00:00,2014-10-27 17:11:55,FY,39510000000,7946000000,2347000000.0,2863000000.0,-24545000000,-4232000000.0,-76000000,5938000000.0,5083000000,2863000000.0,59713000000,-9571000000.0,-3765000000.0,-45000000000.0,18810000000.0,16947000000.0,-22579000000.0,-1158000000.0,730000000.0,-44270000000.0,-11126000000.0,17847000000.0,-37549000000.0,0.0,-415000000.0,13844000000.0,14259000000,59713000000,-9813000000,49900000000,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm
7,2013-09-28,AAPL,USD,2013-10-30 00:00:00,2013-10-29 20:38:28,FY,37037000000,6757000000,1141000000.0,2253000000.0,10517000000,-2172000000.0,-973000000,2340000000.0,29628000000,2253000000.0,53666000000,-8165000000.0,-496000000.0,-22860000000.0,20317000000.0,-22570000000.0,-33774000000.0,-1082000000.0,530000000.0,-22330000000.0,-10564000000.0,16515000000.0,-16379000000.0,0.0,3513000000.0,14259000000.0,10746000000,53666000000,-9076000000,44590000000,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm
8,2012-09-29,AAPL,USD,2012-10-31 00:00:00,2012-10-31 17:07:19,FY,41733000000,3277000000,4405000000.0,1740000000.0,2093000000,-5551000000.0,-15000000,4467000000.0,19111000000,1740000000.0,50856000000,-8295000000.0,-350000000.0,-151232000000.0,13035000000.0,-52617000000.0,-48227000000.0,-1226000000.0,665000000.0,665000000.0,-2488000000.0,10871000000.0,-1698000000.0,0.0,931000000.0,10746000000.0,9815000000,50856000000,-9402000000,41454000000,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm
9,2011-09-24,AAPL,USD,2011-10-26 00:00:00,2011-10-26 16:35:25,FY,25922000000,1814000000,2868000000.0,1168000000.0,-3938000000,143000000.0,275000000,2515000000.0,17018000000,1168000000.0,37529000000,-4260000000.0,-244000000.0,-102317000000.0,20437000000.0,-56352000000.0,-40419000000.0,-520000000.0,831000000.0,831000000.0,0.0,10428000000.0,1444000000.0,0.0,-1446000000.0,9815000000.0,11261000000,37529000000,-7452000000,30077000000,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm
