,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-03-31,ABMD,USD,2020-05-21,2020-05-21 16:08:19,FY,203009000,20430000.0,32953000.0,39781000,-67221000,5551000.0,-13237000,2581000.0,503978000,3533000.0,314920000,0.0,0.0,-632237000,550788000,0.0,0.0,0.0,0.0,-84879000.0,0.0,-41687000.0,0.0,0.0,71320000.0,192341000,121021000,314920000,-44006000,270914000,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/0001564590-20-026547-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/abmd-10k_20200331.htm
1,2019-03-31,ABMD,USD,2019-05-23,2019-05-23 16:07:01,FY,259016000,14121000.0,-7745000.0,54494000,161610000,-22023000.0,-37181000,7976000.0,571199000,-915000.0,252197000,0.0,0.0,-404337000,331886000,0.0,0.0,0.0,0.0,0.0,0.0,-71776000.0,0.0,0.0,78046000.0,121021000,42975000,252197000,-44004000,208193000,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/0001564590-19-020329-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/abmd-10k_20190331.htm
2,2018-03-31,ABMD,USD,2018-05-24,2018-05-24 16:11:43,FY,112170000,11005000.0,42624000.0,40353000,152248000,-15289000.0,-15686000,4412000.0,409589000,1337000.0,192546000,0.0,0.0,-331808000,206909000,0.0,0.0,-517000.0,0.0,0.0,0.0,-20317000.0,0.0,0.0,3935000.0,42975000,39040000,192546000,-55863000,136683000,https://www.sec.gov/Archives/edgar/data/815094/000156459018014310/0001564590-18-014310-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459018014310/abmd-10k_20180331.htm
3,2017-03-31,ABMD,USD,2017-05-25,2017-05-25 16:08:18,FY,52116000,6202000.0,25803000.0,32866000,15490000,-11550000.0,-12284000,7565000.0,257341000,1590000.0,115116000,0.0,0.0,-281400000,205482000,0.0,0.0,-446000.0,0.0,0.0,0.0,-8067000.0,0.0,0.0,-9191000.0,39040000,48231000,115116000,-50415000,64701000,https://www.sec.gov/Archives/edgar/data/815094/000156459017011690/0001564590-17-011690-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459017011690/abmd-10k_20170331.htm
4,2016-03-31,ABMD,USD,2016-05-26,2016-05-26 16:09:12,FY,38147000,3277000.0,22296000.0,29053000,61031000,-10930000.0,-11473000,-2645000.0,241851000,1053000.0,76795000,0.0,0.0,-261725000,219639000,0.0,0.0,0.0,0.0,0.0,0.0,-3746000.0,0.0,0.0,25830000.0,48231000,22401000,76795000,-15624000,61171000,https://www.sec.gov/Archives/edgar/data/815094/000156459016020014/0001564590-16-020014-index.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459016020014/abmd-10k_20160331.htm
