,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,HES,USD,2020-02-20,2020-02-20 16:03:16,FY,-240000000,0.0,17000000,85000000,-595000000,-383000000,-16000000,4000000.0,-216000000,49000000,1642000000,0.0,0.0,-33000000.0,0.0,19000000.0,0.0,-57000000,0.0,-25000000.0,-316000000,-342000000,0.0,0.0,-1149000000,1545000000,2694000000,1642000000,-2829000000,-1187000000,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/0001564590-20-005545-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/hes-10k_20191231.htm
1,2018-12-31,HES,USD,2019-02-21,2019-02-21 16:08:05,FY,-115000000,0.0,-120000000,72000000,-186000000,-138000000,-12000000,88000000.0,-122000000,165000000,1939000000,0.0,0.0,-67000000.0,0.0,598000000.0,0.0,-633000000,0.0,-1365000000.0,-345000000,-183000000,0.0,0.0,-2153000000,2694000000,4847000000,1939000000,-2097000000,-158000000,https://www.sec.gov/Archives/edgar/data/4447/000156459019003671/0001564590-19-003671-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459019003671/hes-10k_20181231.htm
2,2017-12-31,HES,USD,2018-02-21,2018-02-21 16:51:04,FY,-3941000000,0.0,-2001000000,86000000,-780000000,-340000000,-64000000,-44000000.0,-298000000,268000000,945000000,0.0,0.0,0.0,0.0,3295000000.0,0.0,-459000000,366000000.0,-110000000.0,-363000000,-269000000,0.0,0.0,2115000000,4847000000,2732000000,945000000,-1937000000,-992000000,https://www.sec.gov/Archives/edgar/data/4447/000156459018002698/0001564590-18-002698-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459018002698/hes-10k_20171231.htm
3,2016-12-31,HES,USD,2017-02-23,2017-02-23 16:21:56,FY,-6076000000,0.0,2200000000,73000000,-47000000,96000000,77000000,-87000000.0,-142000000,1064000000,795000000,0.0,0.0,0.0,0.0,161000000.0,0.0,-1455000000,1087000000.0,0.0,-350000000,-79000000,0.0,0.0,16000000,2732000000,2716000000,795000000,-2251000000,-1456000000,https://www.sec.gov/Archives/edgar/data/4447/000156459017002225/0001564590-17-002225-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459017002225/hes-10k_20161231.htm
4,2015-12-31,HES,USD,2016-02-26,2016-02-25 19:12:15,FY,-2959000000,0.0,-1319000000,97000000,60000000,841000000,29000000,-424000000.0,-164000000,410000000,1981000000,0.0,0.0,0.0,0.0,6000000.0,0.0,-67000000,0.0,-142000000.0,-287000000,2271000000,0.0,0.0,272000000,2716000000,2444000000,1981000000,-4321000000,-2340000000,https://www.sec.gov/Archives/edgar/data/4447/000156459016013433/0001564590-16-013433-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000156459016013433/hes-10k_20151231.htm
