,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-12-31,NFLX,USD,2021-01-28,2021-01-28 16:21:59,FY,2761395000,10806912000,70066000,415180000,2632987000,0.0,0.0,-41605000,1955795000,0.0,2427077000,-497923000.0,0.0,0.0,0.0,0.0,-505354000.0,291582000.0,235406000,0.0,0.0,0.0,1237311000.0,0.0,3195084000,8238870000,5043786000,2427077000,497923000,1929154000,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/nflx-20201231.htm
1,2019-12-31,NFLX,USD,2020-01-29,2020-01-29 16:03:25,FY,1866916000,9319826000,-94443000,405376000,-3884007000,0.0,0.0,96063000,-677192000,-14382464000.0,-2887322000,0.0,0.0,0.0,0.0,-134029000.0,0.0,0.0,72490000,0.0,0.0,-36134000.0,0.0,-45576000.0,1231745000,5043786000,3812041000,-2887322000,-253035000,-3140357000,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/0001065280-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/form10kq419.htm
2,2018-12-31,NFLX,USD,2019-01-29,2019-01-29 17:12:16,FY,1211242000,7656457000,-85520000,320657000,1003153000,0.0,0.0,199198000,3206815000,-12003129000.0,-2680479000,0.0,0.0,0.0,0.0,-126588000.0,0.0,0.0,124502000,0.0,0.0,-37827000.0,0.0,-73953000.0,989246000,3812041000,2822795000,-2680479000,-212532000,-2893011000,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/0001065280-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/form10k_q418.htm
3,2017-12-31,NFLX,USD,2018-01-29,2018-01-29 17:29:30,FY,558929000,6330385000,-208688000,182209000,1070028000,0.0,0.0,74559000,2203662000,-8848550000.0,-1785948000,0.0,0.0,-74819000.0,342859000.0,-6689000.0,0.0,0.0,88378000,0.0,0.0,-31898000.0,0.0,140790000.0,1355219000,2822795000,1467576000,-1785948000,-227022000,-2012970000,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/0001065280-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/q4nflx201710k.htm
4,2016-12-31,NFLX,USD,2017-01-27,2017-01-27 15:44:46,FY,186678000,4924978000,-46847000,173675000,-768582000,0.0,0.0,32247000,1133634000,-6839727000.0,-1473984000,0.0,0.0,-187193000.0,422729000.0,-941000.0,0.0,0.0,36979000,0.0,0.0,54651000.0,0.0,0.0,-341754000,1467576000,1809330000,-1473984000,-184830000,-1658814000,https://www.sec.gov/Archives/edgar/data/1065280/000162828017000496/0001628280-17-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000162828017000496/nflx201610k.htm
