,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,JNPR,USD,2020-02-20 00:00:00,2020-02-20 16:35:50,FY,345000000,210300000,2900000.0,202200000,-292300000,-118100000,0.0,6400000.0,-33100000,45500000.0,528900000,0.0,0.0,-3316900000,3176500000,0.0,0.0,-950000000.0,55600000,-554900000,-260100000,-14600000.0,0.0,0.0,-1229300000,1276500000,2505800000,528900000,-109600000,419300000,https://www.sec.gov/Archives/edgar/data/1043604/000104360420000021/0001043604-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360420000021/jnpr-10k20191231.htm
1,2018-12-31,JNPR,USD,2019-02-22 00:00:00,2019-02-22 16:33:50,FY,566900000,210500000,42600000.0,217100000,-185600000,96300000,0.0,3500000.0,-203100000,9600000.0,861100000,0.0,0.0,-1246000000,2017300000,0.0,0.0,0.0,56900000,-756600000,-249300000,-19600000.0,0.0,0.0,446700000,2505800000,2059100000,861100000,-147400000,713700000,https://www.sec.gov/Archives/edgar/data/1043604/000104360419000012/0001043604-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360419000012/jnpr-10k20181231.htm
2,2017-12-31,JNPR,USD,2018-02-23 00:00:00,2018-02-23 16:06:18,FY,306200000,225600000,-139600000.0,187500000,694900000,203800000,0.0,-10100000.0,459500000,0.0,1260100000,0.0,0.0,-1897800000,1698000000,0.0,0.0,0.0,64500000,-725800000,-150400000,16900000.0,0.0,0.0,173300000,2006500000,1833200000,1260100000,-151200000,1108900000,https://www.sec.gov/Archives/edgar/data/1043604/000104360418000011/0001043604-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360418000011/jnpr-10k20171231.htm
3,2016-12-31,JNPR,USD,2017-02-24 00:00:00,2017-02-24 17:25:56,FY,592700000,206700000,55900000.0,224600000,29300000,-263500000,0.0,66600000.0,286700000,0.0,1106000000,0.0,0.0,-1623200000,1533900000,-1500000.0,0.0,-300000000.0,62300000,-324600000,-152500000,-8800000.0,0.0,0.0,412300000,1833200000,1420900000,1106000000,-214700000,891300000,https://www.sec.gov/Archives/edgar/data/1043604/000104360417000045/0001043604-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360417000045/jnpr-10k20161231.htm
4,2015-12-31,JNPR,USD,2016-02-19 00:00:00,2016-02-19 16:06:03,FY,633700000,176500000,-14600000.0,217300000,-97600000,-218900000,0.0,-80200000.0,243200000,-4100000.0,892500000,0.0,0.0,-1496200000,1192000000,9300000.0,0.0,0.0,121200000,-1153600000,-156300000,12300000.0,0.0,0.0,-218700000,1420900000,1639600000,892500000,-210300000,682200000,https://www.sec.gov/Archives/edgar/data/1043604/000104360416000219/0001043604-16-000219-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360416000219/jnpr-10k20151231.htm
