,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-03-28,VFC,USD,2020-05-27 00:00:00,2020-05-27 13:28:25,FY,679449000,267619000,-74499000.0,68205000,-8721000.0,-5947000.0,-140744000,-73674000.0,2003132000,987428000.0,874527000,0.0,0.0,0.0,0.0,0.0,-302047000.0,-649054000.0,155390000.0,-844617000,-748663000,0.0,309732000.0,-27476000.0,854736000,1256962000,402226000,874527000,-333836000,540691000,https://www.sec.gov/Archives/edgar/data/103379/000010337920000006/0000103379-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103379/000010337920000006/vfc328202010-k.htm
1,2019-03-30,VFC,USD,2019-05-24 00:00:00,2019-05-24 15:55:36,FY,1259792000,301005000,-62901000.0,105157000,467359000.0,-373012000.0,-135099000,111678000.0,2011853000,122510000.0,1664223000,0.0,-320405000.0,-150676000.0,0.0,940874000.0,-220632000.0,-6264000.0,0.0,48620000,-767061000,-667004000.0,-1591005000.0,14811000.0,-132603000,548159000,680762000,1664223000,-306841000,1357382000,https://www.sec.gov/Archives/edgar/data/103379/000010337919000006/0000103379-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/103379/000010337919000006/vfc330201910-k.htm
2,2018-03-31,VFC,USD,,,FY,252793000,71532000,303000.0,25440000,-89170000.0,38686000.0,-156292000,-187553000.0,1544494000,-7148000.0,-243223000,0.0,0.0,0.0,0.0,17673000.0,0.0,-1484000.0,44017000.0,-250282000,-181373000,0.0,0.0,0.0,119793000,689190000,569397000,-243223000,-73663000,-316886000,,
3,2017-12-30,VFC,USD,2018-02-28 00:00:00,2018-02-28 13:47:50,FY,614923000,290503000,-79838000.0,81641000,-874034000.0,-107083000.0,17005000,21494000.0,1633664000,260320000.0,1474660000,0.0,-740541000.0,-1200356000.0,0.0,1164646000.0,-776251000.0,-254314000.0,89893000.0,-1110463000,-684679000,776346000.0,-1363003000.0,2965000.0,-661629000,566233000,1227862000,1474660000,-234730000,1239930000,https://www.sec.gov/Archives/edgar/data/103379/000010337918000003/0000103379-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/103379/000010337918000003/vfc1230201710-k.htm
4,2016-12-31,VFC,USD,2017-03-01 00:00:00,2017-03-01 11:56:45,FY,1074106000,281577000,-71625000.0,67762000,286275000.0,47102000.0,-37210000,-9553000.0,2507698000,-15232000.0,1477919000,0.0,0.0,0.0,0.0,-8331000.0,0.0,-13276000.0,48918000.0,-1000468000,-635994000,-6807000.0,0.0,0.0,282257000,1227862000,945605000,1477919000,-220066000,1257853000,https://www.sec.gov/Archives/edgar/data/103379/000162828017002027/0001628280-17-002027-index.html,https://www.sec.gov/Archives/edgar/data/103379/000162828017002027/vfc1231201610-k.htm
