,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,PRU,USD,2020-02-14,2020-02-14 16:24:04,FY,4238000000,460000000,0.0,0.0,13175000000,0.0,0.0,0.0,3156000000,-3587000000,19625000000,0.0,0.0,-122715000000,111683000000,-437000000,0.0,-2067000000,0.0,-2500000000,-1641000000,642000000,0.0,0.0,979000000,16474000000,15495000000,19625000000,0.0,19625000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777420000065/0001137774-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777420000065/form10-kx4q2019.htm
1,2018-12-31,PRU,USD,2019-02-15,2019-02-15 16:21:00,FY,4088000000,161000000,0.0,0.0,17581000000,0.0,0.0,0.0,1648000000,-1385000000,21664000000,0.0,0.0,-144892000000,126967000000,-188000000,0.0,-1810000000,0.0,-1500000000,-1521000000,1222000000,0.0,0.0,959000000,15495000000,14536000000,21664000000,0.0,21664000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777419000058/0001137774-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777419000058/form10-kx4q2018.htm
2,2017-12-31,PRU,USD,2018-02-16,2018-02-16 16:19:47,FY,7974000000,222000000,0.0,0.0,4671000000,0.0,0.0,0.0,-3410000000,-2812000000,13445000000,0.0,0.0,-143090000000,134239000000,-712000000,0.0,-1827000000,0.0,-1250000000,-1296000000,791000000,0.0,0.0,363000000,14490000000,14127000000,13445000000,0.0,13445000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777418000063/0001137774-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777418000063/form10-kx4q2017.htm
3,2016-12-31,PRU,USD,2017-02-17,2017-02-17 16:20:56,FY,4419000000,318000000,0.0,0.0,10364000000,0.0,0.0,0.0,190000000,-1890000000,14778000000,0.0,0.0,-151765000000,132784000000,-227000000,0.0,-2753000000,0.0,-2119000000,-1300000000,5389000000,0.0,0.0,-3485000000,14127000000,17612000000,14778000000,0.0,14778000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777417000084/0001137774-17-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777417000084/form10-kx4q2016.htm
4,2015-12-31,PRU,USD,2016-02-19,2016-02-19 16:22:47,FY,5712000000,113000000,0.0,0.0,9975000000,0.0,0.0,0.0,1696000000,-1359000000,13895000000,0.0,0.0,-148896000000,144555000000,106000000,0.0,-4957000000,0.0,-1664000000,-1117000000,1041000000,0.0,0.0,2694000000,17612000000,14918000000,13895000000,0.0,13895000000,https://www.sec.gov/Archives/edgar/data/1137774/000113777416000226/0001137774-16-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777416000226/pfi201510-k.htm
