,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-12-31,URI,USD,2021-01-27,2021-01-27 16:24:35,FY,890000000,1988000000,-121000000,70000000,108000000.0,218000000,-5000000.0,10000000,-248000000,0.0,2658000000,0.0,0.0,183000000.0,0.0,0.0,-223000000.0,-11245000000,1000000.0,-286000000,0.0,0.0,-2293000000.0,0.0,150000000.0,202000000,52000000,2658000000,0.0,2658000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770121000008/0001067701-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1067701/000106770121000008/uri-20201231.htm
1,2019-12-31,URI,USD,2020-01-29 00:00:00,2020-01-29 16:35:59,FY,1174000000,2038000000,204000000,61000000,-1000000.0,39000000,-8000000.0,-86000000,-356000000,10000000.0,3024000000,0.0,0.0,-3000000.0,0.0,24000000.0,0.0,-9678000000,0.0,-870000000,0.0,-28000000.0,0.0,0.0,9000000.0,52000000,43000000,3024000000,-2350000000.0,674000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770120000008/0001067701-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000106770120000008/uri-2019123110k.htm
2,2018-12-31,URI,USD,2019-01-23 00:00:00,2019-01-23 16:40:59,FY,1096000000,1671000000,257000000,102000000,-459000000.0,-115000000,-20000000.0,49000000,-355000000,57000000.0,2853000000,0.0,0.0,-3000000.0,0.0,22000000.0,0.0,-9942000000,0.0,-817000000,0.0,-24000000.0,0.0,0.0,-309000000.0,43000000,352000000,2853000000,-2291000000.0,562000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770119000007/0001067701-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000106770119000007/uri-2018123110k.htm
3,2017-12-31,URI,USD,2018-01-24 00:00:00,2018-01-24 16:30:00,FY,1346000000,1383000000,-533000000,87000000,-73000000.0,-184000000,1000000.0,141000000,104000000,109000000.0,2230000000,0.0,0.0,-5000000.0,0.0,0.0,0.0,-10207000000,0.0,-56000000,0.0,-44000000.0,0.0,0.0,40000000.0,352000000,312000000,2230000000,-1889000000.0,341000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770118000006/0001067701-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000106770118000006/uri-2017123110k.htm
4,2016-12-31,URI,USD,2017-01-25 00:00:00,2017-01-25 16:40:38,FY,566000000,1245000000,123000000,45000000,116000000.0,15000000,1000000.0,-29000000,177000000,23000000.0,1953000000,0.0,0.0,-2000000.0,0.0,0.0,0.0,-9223000000,0.0,-528000000,0.0,34000000.0,0.0,0.0,133000000.0,312000000,179000000,1953000000,-1339000000.0,614000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770117000006/0001067701-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1047166/000106770117000006/uri-2016123110k.htm
