,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-30,BDX,USD,2020-09-30,2020-09-30,FY,874000000,2154000000,-302000000,244000000,113000000,-48000000,-125000000,0.0,0.0,309000000,3539000000,0.0,0.0,0.0,0.0,-258000000,0.0,-4664000000,2917000000.0,0.0,-1026000000,-109000000,0.0,0.0,2327000000,2917000000,590000000,3539000000,-810000000,2729000000,,
1,2019-09-30,BDX,USD,2019-11-27 00:00:00,2019-11-27 16:43:38,FY,1233000000,2253000000,-381000000,261000000,-371000000,-51000000,-149000000,0.0,0.0,737000000,3328000000,0.0,0.0,0.0,0.0,-261000000,0.0,-4744000000,485000000.0,0.0,-984000000,-204000000,0.0,0.0,-646000000,590000000,1236000000,3328000000,-957000000,2371000000,https://www.sec.gov/Archives/edgar/data/10795/000001079519000044/0000010795-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079519000044/bdx2019-09x3010xk.htm
2,2018-09-30,BDX,USD,2018-11-21 00:00:00,2018-11-21 15:34:32,FY,311000000,1978000000,-240000000,322000000,897000000,-170000000,246000000,0.0,0.0,85000000,2865000000,0.0,0.0,0.0,11000000.0,-198000000,0.0,-3996000000,0.0,0.0,-927000000,-221000000,0.0,0.0,-13039000000,1140000000,14179000000,2865000000,-895000000,1970000000,https://www.sec.gov/Archives/edgar/data/10795/000001079518000036/0000010795-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079518000036/bdx2018-09x3010xk.htm
3,2017-09-30,BDX,USD,2017-11-22 00:00:00,2017-11-22 11:31:54,FY,1100000000,1088000000,-236000000,174000000,-371000000,-93000000,-46000000,0.0,14000000.0,634000000,2550000000,0.0,0.0,0.0,13000000.0,-160000000,0.0,-3980000000,0.0,0.0,-677000000,-235000000,0.0,0.0,12638000000,14179000000,1541000000,2550000000,-727000000,1823000000,https://www.sec.gov/Archives/edgar/data/10795/000001079517000021/0000010795-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079517000021/bdx2017-09x3010xk.htm
4,2016-09-30,BDX,USD,2016-11-23 00:00:00,2016-11-23 11:50:03,FY,976000000,1114000000,-426000000,196000000,399000000,-128000000,69000000,0.0,51000000.0,332000000,2559000000,0.0,0.0,-1000000.0,0.0,-108000000,0.0,-752000000,0.0,0.0,-562000000,85000000,0.0,0.0,117000000,1541000000,1424000000,2559000000,-718000000,1841000000,https://www.sec.gov/Archives/edgar/data/10795/000162828016021658/0001628280-16-021658-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828016021658/bdx2016-09x3010xk.htm
