,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-28,SWK,USD,2020-02-21 00:00:00,2020-02-21 13:03:52,FY,955800000,560200000,-17900000.0,88000000,-122100000.0,137000000,7000000.0,-169000000.0,51000000,127500000,1505700000,0.0,-685000000.0,-260000000.0,0.0,0.0,-1208600000.0,-1150000000.0,146000000,834300000,-402000000,0.0,-292500000.0,-1400000.0,3200000.0,291900000,288700000,1505700000,-424700000,1081000000,https://www.sec.gov/Archives/edgar/data/93556/000009355620000006/0000093556-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355620000006/swk10k2019.htm
1,2018-12-29,SWK,USD,2019-02-26 00:00:00,2019-02-26 11:28:51,FY,605200000,506500000,191100000.0,76500000,-167500000.0,-48800000,-401600000.0,211000000.0,567800000,125000000,1260900000,-492100000.0,-524600000.0,-527100000.0,0.0,554700000.0,-989100000.0,-977500000.0,38500000,-545900000,-384900000,1289400000.0,-561600000.0,-53900000.0,-343700000.0,293800000,637500000,1260900000,-492100000,768800000,https://www.sec.gov/Archives/edgar/data/93556/000009355619000011/0000093556-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355619000011/swk_10k2018.htm
2,2017-12-30,SWK,USD,2018-02-27 00:00:00,2018-02-27 14:29:03,FY,1227300000,460700000,-103000000.0,78700000,-814600000.0,-200600000,-303000000.0,240400000.0,204300000,-101500000,668500000,-442400000.0,-2601100000.0,-28700000.0,0.0,783100000.0,-1566800000.0,76700000.0,90800000,763000000,-362900000,519300000.0,295200000.0,81000000.0,-522100000.0,609700000,1131800000,668500000,-442400000,226100000,https://www.sec.gov/Archives/edgar/data/93556/000009355618000008/0000093556-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355618000008/swk_10k2017.htm
3,2016-12-31,SWK,USD,2017-02-15 00:00:00,2017-02-15 16:02:28,FY,965300000,408000000,-25700000.0,81200000,-5500000.0,-69400000,-23900000.0,159700000.0,-71000000,29300000,1485200000,0.0,0.0,0.0,104700000.0,-6400000.0,0.0,0.0,418500000,-374100000,-330900000,-148500000.0,0.0,0.0,666400000.0,1131800000,465400000,1485200000,-347000000,1138200000,https://www.sec.gov/Archives/edgar/data/93556/000009355617000006/0000093556-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355617000006/swk_10k2016.htm
4,2016-01-02,SWK,USD,2016-02-19 00:00:00,2016-02-19 10:46:49,FY,883700000,414000000,-1300000.0,67900000,-240100000.0,-41300000,-54700000.0,-9700000.0,859500000,126000000,1182300000,-311400000.0,-17600000.0,-649800000.0,0.0,773800000.0,-205000000.0,-16100000.0,163500000,-486300000,-319900000,-53300000.0,-875600000.0,-132900000.0,-31200000.0,465800000,497000000,1182300000,-311400000,870900000,https://www.sec.gov/Archives/edgar/data/93556/000009355616000051/0000093556-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355616000051/swk_10k2015.htm
