,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,CE,USD,2020-02-06,2020-02-06 16:24:03,FY,858000000,356000000,-31000000,48000000,151000000,165000000,6000000.0,-59000000.0,0.0,-87000000,1454000000,0.0,0.0,-16000000.0,0.0,-17000000,0.0,-451000000,0.0,-996000000,-300000000,-50000000,0.0,0.0,24000000,463000000,439000000,1454000000,-370000000,1084000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/0001306830-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/ce-20191231x10k.htm
1,2018-12-31,CE,USD,2019-02-07,2019-02-07 16:44:31,FY,1213000000,349000000,137000000,71000000,-248000000,-48000000,-158000000.0,15000000.0,0.0,-113000000,1558000000,0.0,0.0,0.0,0.0,-39000000,0.0,-652000000,0.0,-805000000,-280000000,-40000000,0.0,0.0,-137000000,439000000,576000000,1558000000,-337000000,1221000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/0001306830-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/ce-20181231x10k.htm
2,2017-12-31,CE,USD,2018-02-09,2018-02-09 16:28:32,FY,849000000,310000000,-152000000,47000000,173000000,-110000000,-97000000.0,126000000.0,0.0,-431000000,803000000,0.0,0.0,0.0,0.0,-14000000,0.0,-201000000,0.0,-500000000,-241000000,-54000000,0.0,0.0,-62000000,576000000,638000000,803000000,-267000000,536000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000030/0001306830-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000030/ce-20171231x10k.htm
3,2016-12-31,CE,USD,2017-02-10,2017-02-10 16:19:51,FY,906000000,295000000,83000000,31000000,-118000000,-59000000,8000000.0,7000000.0,0.0,-389000000,893000000,0.0,0.0,0.0,0.0,-27000000,0.0,-1569000000,0.0,-500000000,-201000000,-57000000,0.0,0.0,-329000000,638000000,967000000,893000000,-246000000,647000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683017000034/0001306830-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683017000034/ce-20161231x10k.htm
4,2015-12-31,CE,USD,2016-02-05,2016-02-05 16:16:27,FY,285000000,363000000,42000000,40000000,-11000000,61000000,62000000.0,-111000000.0,0.0,-108000000,862000000,0.0,0.0,0.0,0.0,-36000000,0.0,-107000000,0.0,-420000000,-174000000,202000000,0.0,0.0,187000000,967000000,780000000,862000000,-520000000,342000000,https://www.sec.gov/Archives/edgar/data/1306830/000130683016000212/0001306830-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683016000212/ce-20151231x10k.htm
