,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-08-31,WBA,USD,2020-10-15,2020-10-15 16:15:39,FY,424000000,1927000000,-43000000,137000000,-1928000000,163000000,63000000,-25000000,-8997000000,464000000,5484000000,-1374000000.0,-718000000.0,0.0,0.0,71000000,-1297000000.0,-21414000000,0.0,-1589000000,-1747000000,-158000000,-4647000000.0,0.0,-460000000,746000000,1207000000,5484000000,-1374000000,4110000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/0001618921-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/wba-20200831.htm
1,2019-08-31,WBA,USD,2019-10-28,2019-10-28 16:19:39,FY,3962000000,2038000000,100000000,119000000,-3248000000,-789000000,141000000,954000000,-7069000000,302000000,5594000000,0.0,0.0,0.0,0.0,133000000,0.0,-10461000000,0.0,-4160000000,-1643000000,74000000,0.0,0.0,232000000,1207000000,975000000,5594000000,-1702000000,3892000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/wba-2019831x10k.htm
2,2018-08-31,WBA,USD,2018-10-11,2018-10-11 16:21:49,FY,5031000000,1770000000,-322000000,130000000,-5027000000,-391000000,331000000,1323000000,-3821000000,296000000,8265000000,0.0,0.0,0.0,0.0,659000000,0.0,-4890000000,0.0,-5228000000,-1739000000,-98000000,0.0,0.0,-2516000000,785000000,3301000000,8265000000,-1367000000,6898000000,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/0001628280-18-012472-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/wba-2018831x10k.htm
3,2017-08-31,WBA,USD,2017-10-25,2017-10-25 17:08:45,FY,4101000000,1654000000,-434000000,91000000,-7664000000,-153000000,98000000,1690000000,1206000000,364000000,7251000000,0.0,0.0,0.0,0.0,152000000,0.0,-6196000000,0.0,-5220000000,-1723000000,-45000000,0.0,0.0,-6506000000,3301000000,9807000000,7251000000,-1351000000,5900000000,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000069/0001618921-17-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000069/wba-2017831x10k.htm
4,2016-08-31,WBA,USD,2016-10-20,2016-10-20 17:24:02,FY,4191000000,1718000000,-442000000,115000000,5770000000,115000000,-644000000,1572000000,8870000000,148000000,7847000000,0.0,0.0,0.0,0.0,160000000,0.0,-791000000,0.0,-1152000000,-1563000000,-143000000,0.0,0.0,6807000000,9807000000,3000000000,7847000000,-1325000000,6522000000,https://www.sec.gov/Archives/edgar/data/1618921/000114036116083198/0001140361-16-083198-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000114036116083198/form10k.htm
