,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-05-31,CAG,USD,2020-07-24,2020-07-24 13:01:19,FY,841800000,388900000,0.0,59200000,-992700000,-43800000.0,163500000,234400000,-401500000,11300000,1842600000,0.0,0.0,-46800000.0,53800000.0,100000.0,0.0,-947500000,0.0,0.0,-413600000,-14200000,0.0,0.0,316700000,554300000,237600000,1842600000,-369500000,1473100000,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/0001564590-20-033366-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/cag-10k_20200531.htm
1,2019-05-26,CAG,USD,2019-07-19,2019-07-19 10:14:35,FY,678300000,333000000,83700000.0,33700000,988500000,-69100000.0,78000000,38200000,591200000,11700000,1125500000,-353100000.0,-5119200000.0,-61000000.0,52200000.0,315100000.0,-5166000000.0,-3972700000,0.0,554100000.0,-356200000,8478700000,4149800000.0,-700000.0,108600000,236600000,128000000,1125500000,-353100000,772400000,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/0000023217-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/cag-2019x10k.htm
2,2018-05-27,CAG,USD,2018-07-20,2018-07-20 12:27:09,FY,808400000,257000000,10500000.0,37900000,-690000000,-4700000.0,-62800000,144900000,-397300000,-165500000,954200000,-251600000.0,0.0,-967300000.0,0.0,642700000.0,-576200000.0,-242300000,0.0,-952400000.0,-342300000,1045000000,-506900000.0,5500000.0,-123400000,128000000,251400000,954200000,-251600000,702600000,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/0000023217-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/cag-2018x10k.htm
3,2017-05-28,CAG,USD,2017-07-21,2017-07-21 12:13:08,FY,639300000,268000000,52300000.0,36100000,-751600000,104700000.0,123300000,71000000,292700000,91600000,1206600000,-242100000.0,0.0,-1000000000.0,0.0,1052800000.0,-184000000.0,-1064500000,0.0,-926200000.0,-415000000,910400000,-1569100000.0,-200000.0,-546700000,251400000,798100000,1206600000,-242100000,964500000,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/0001628280-17-007184-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/cag-2017x10k.htm
4,2016-05-29,CAG,USD,2016-07-15,2016-07-15 14:11:01,FY,-677000000,278500000,-264900000.0,45100000,686800000,-171900000.0,55400000,-111000000,1044300000,2035500000,1308200000,-429800000.0,0.0,0.0,0.0,2557200000.0,2127400000.0,-2525000000,8600000.0,217000000.0,-432500000,267500000,-2733200000.0,-2000000.0,700400000,865100000,164700000,1308200000,-277500000,1030700000,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/0001628280-16-017613-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/cag-2016x10k.htm
