,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,PLD,USD,2020-02-11,2020-02-10 19:43:14,FY,1701846000,1139879000,12221000.0,97557000,18611000,-108165000,0.0,0.0,0.0,-81420000,2264034000,-791860000,0.0,-30424000.0,23640000.0,0.0,0.0,-3301827000,6082000.0,0.0,-1345660000,-302716000,0.0,0.0,744999000,1088855000,343856000,2264034000,0.0,2264034000,https://www.sec.gov/Archives/edgar/data/1045609/000156459020004096/0001564590-20-004096-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459020004096/pld-10k_20191231.htm
1,2018-12-31,PLD,USD,2019-02-13,2019-02-13 17:31:20,FY,1822960000,947214000,1448000.0,76093000,-82720000,-72955000,0.0,0.0,0.0,-54285000,1803559000,-915698000,0.0,-11703000.0,29425000.0,34260000.0,0.0,-4166088000,6891000.0,0.0,-1123367000,-174658000,0.0,0.0,-103190000,343856000,447046000,1803559000,0.0,1803559000,https://www.sec.gov/Archives/edgar/data/1045609/000156459019002872/0001564590-19-002872-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459019002872/pld-10k_20181231.htm
2,2017-12-31,PLD,USD,2018-02-15,2018-02-15 16:57:10,FY,1760959000,879140000,-5005000.0,76640000,42759000,37278000,0.0,0.0,0.0,-80270000,1687246000,1034519000,0.0,-5058000.0,7541000.0,32100000.0,0.0,-3578889000,32858000.0,-13182000.0,-942884000,-807539000,0.0,0.0,-360270000,447046000,807316000,1687246000,-110635000.0,1576611000,https://www.sec.gov/Archives/edgar/data/1045609/000156459018002228/0001564590-18-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459018002228/pld-10k_20171231.htm
3,2016-12-31,PLD,USD,2017-02-15,2017-02-14 18:08:50,FY,1292540000,930985000,-5525000.0,60341000,-65001000,-106337000,0.0,0.0,0.0,-108745000,1417005000,560399000,0.0,0.0,79767000.0,202950000.0,0.0,-2301647000,39470000.0,0.0,-893455000,-373158000,0.0,0.0,543236000,807316000,264080000,1417005000,-101677000.0,1315328000,https://www.sec.gov/Archives/edgar/data/1045609/000156459017001559/0001564590-17-001559-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459017001559/pld-10k_20161231.htm
4,2015-12-31,PLD,USD,2016-02-19,2016-02-19 16:15:11,FY,925515000,880373000,-5057000.0,53665000,-110806000,-64749000,0.0,0.0,0.0,-91460000,963410000,-4398901000,0.0,-981000.0,129149000.0,9866000.0,0.0,-3164264000,90258000.0,0.0,-804697000,2105055000,0.0,0.0,-86612000,264080000,350692000,963410000,-83351000.0,880059000,https://www.sec.gov/Archives/edgar/data/1045609/000156459016012933/0001564590-16-012933-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459016012933/pld-10k_20151231.htm
