,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-06-30,NWS,USD,2020-08-11,,FY,-1269000000,644000000,-51000000.0,0.0,69000000,0.0,9000000.0,1298000000,779000000,151000000,780000000,0.0,0.0,0.0,11000000.0,4000000.0,0.0,-1226000000.0,0.0,0.0,-158000000,-14000000.0,0.0,0.0,-126000000,1517000000,1643000000,780000000,-438000000,342000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470820000022/0001564708-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1564708/000156470820000022/nws-20200630.htm
1,2019-06-30,NWS,USD,2019-08-13,2019-08-13 07:10:07,FY,155000000,659000000,0.0,0.0,-389000000,0.0,-58000000.0,-147000000,710000000,-33000000,928000000,0.0,0.0,-34000000.0,0.0,18000000.0,0.0,-1116000000.0,0.0,0.0,-161000000,-14000000.0,0.0,0.0,-391000000,1643000000,2034000000,928000000,-572000000,356000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312519219463/0001193125-19-219463-index.htm,https://www.sec.gov/Archives/edgar/data/1564708/000119312519219463/d741099d10k.htm
2,2018-06-30,NWS,USD,2018-08-13 00:00:00,2018-08-13 17:27:55,FY,-1514000000,472000000,202000000.0,0.0,-264000000,0.0,-14000000.0,53000000,1099000000,325000000,757000000,0.0,0.0,-33000000.0,0.0,33000000.0,0.0,-213000000.0,0.0,0.0,-158000000,-122000000.0,0.0,0.0,18000000,2034000000,2016000000,757000000,-364000000,393000000,https://www.sec.gov/Archives/edgar/data/1308161/000156459018021493/0001564590-18-021493-index.html,https://www.sec.gov/Archives/edgar/data/1308161/000156459018021493/fox-10k_20180630.htm
3,2017-06-30,NWS,USD,2017-08-14 00:00:00,2017-08-14 17:20:48,FY,-738000000,449000000,-95000000.0,0.0,-84000000,0.0,15000000.0,137000000,1363000000,-390000000,494000000,0.0,0.0,-39000000.0,0.0,325000000.0,0.0,-23000000.0,0.0,0.0,-152000000,-42000000.0,0.0,0.0,184000000,2016000000,1832000000,494000000,-256000000,238000000,https://www.sec.gov/Archives/edgar/data/1308161/000156459017017693/0001564590-17-017693-index.html,https://www.sec.gov/Archives/edgar/data/1308161/000156459017017693/fox-10k_20170630.htm
4,2016-06-30,NWS,USD,2016-08-12,2016-08-12 07:19:00,FY,179000000,505000000,-147000000.0,0.0,-373000000,0.0,35000000.0,342000000,1447000000,-18000000,952000000,0.0,0.0,-54000000.0,0.0,-285000000.0,0.0,0.0,0.0,-41000000.0,-147000000,-4000000.0,0.0,0.0,-119000000,1832000000,1951000000,952000000,-256000000,696000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/0001193125-16-679975-index.htm,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/d210462d10k.htm
