,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-08-30,COST,USD,2020-10-07,2020-10-06 19:07:39,FY,4002000000,1645000000,104000000,619000000,3028000000,-15000000.0,-847000000,-2493000000,3276000000,855000000,8861000000,-2810000000,0.0,-1626000000,1678000000,0.0,-3891000000,-3200000000,0.0,-526000000,-1479000000,0.0,-1147000000,70000000,3893000000,12277000000,8384000000,8861000000,-2810000000,6051000000,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/0000909832-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm
1,2019-09-01,COST,USD,2019-10-11,2019-10-10 18:06:12,FY,3659000000,1492000000,147000000,595000000,-115000000,0.0,-536000000,322000000,248000000,604000000,6356000000,-2998000000,0.0,-247000000,1231000000,-851000000.0,-2865000000,-89000000,0.0,-519000000,-1038000000,227000000.0,-1147000000,-15000000,2329000000,8384000000,6055000000,6356000000,-2998000000,3358000000,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/0000909832-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/cost10k9119.htm
2,2018-09-02,COST,USD,2018-10-26,2018-10-26 09:21:46,FY,3134000000,1437000000,-49000000,544000000,541000000,0.0,-1313000000,1561000000,363000000,538000000,5774000000,-2969000000,0.0,-328000000,1078000000,-728000000.0,-2947000000,-86000000,0.0,-545000000,-689000000,-178000000.0,-1281000000,-37000000,1509000000,6055000000,4546000000,5774000000,-2969000000,2805000000,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/0000909832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/cost10k9218.htm
3,2017-09-03,COST,USD,2017-10-18,2017-10-17 21:17:47,FY,2679000000,1370000000,-29000000,514000000,179000000,0.0,-894000000,2258000000,-178000000,500000000,6726000000,-2502000000,0.0,-469000000,1385000000,-780000000.0,-2366000000,-2200000000,0.0,-671000000,-3904000000,3355000000.0,-3218000000,25000000,1167000000,4546000000,3379000000,6726000000,-2502000000,4224000000,https://www.sec.gov/Archives/edgar/data/909832/000090983217000014/0000909832-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983217000014/cost10k90317.htm
4,2016-08-28,COST,USD,2016-10-12,2016-10-11 19:26:22,FY,2350000000,1255000000,269000000,459000000,-597000000,0.0,-25000000,-1532000000,-357000000,402000000,3292000000,-2649000000,0.0,-486000000,1709000000,-919000000.0,-2345000000,-1288000000,0.0,-706000000,-746000000,101000000.0,-2419000000,50000000,-1422000000,3379000000,4801000000,3292000000,-2649000000,643000000,https://www.sec.gov/Archives/edgar/data/909832/000090983216000032/0000909832-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983216000032/cost10k82816.htm
