,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,CBRE,USD,2020-03-02 00:00:00,2020-03-02 13:03:45,FY,1291450000,439224000,0.0,127738000,-864164000,0.0,0.0,306677000.0,5235000.0,356483000.0,1223380000,0.0,0.0,-20870000,20294000,1650000.0,0.0,-4019687000,0.0,-163563000,0.0,2301000.0,0.0,0.0,229801000,1093745000,863944000,1223380000,-293514000,929866000,https://www.sec.gov/Archives/edgar/data/1138118/000156459020008056/0001564590-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459020008056/cbre-10k_20191231.htm
1,2018-12-31,CBRE,USD,2019-03-01 00:00:00,2019-03-01 09:12:05,FY,1065948000,451988000,-11401000.0,128171000,137444000,0.0,0.0,0.0,223297000.0,-347329000.0,1131249000,14174000.0,0.0,-44762000,22106000,-733000.0,0.0,-4573353000,0.0,-190420000,0.0,-11171000.0,0.0,0.0,39125000,863944000,824819000,1131249000,-227803000,903446000,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/0001564590-19-005666-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/cbg-10k_20181231.htm
2,2017-12-31,CBRE,USD,2018-03-01 00:00:00,2018-03-01 10:29:41,FY,697946000,406114000,-8989000.0,93087000,-452133000,0.0,0.0,0.0,268785000.0,358489000.0,710505000,0.0,0.0,-34864000,31377000,3673000.0,0.0,-2285432000,0.0,-29549000,0.0,-14088000.0,0.0,0.0,-10802000,751774000,762576000,710505000,-178042000,532463000,https://www.sec.gov/Archives/edgar/data/1138118/000156459018003991/0001564590-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459018003991/cbg-10k_20171231.htm
3,2016-12-31,CBRE,USD,2017-03-01 00:00:00,2017-03-01 12:54:02,FY,584064000,366927000,-9642000.0,63484000,-206743000,0.0,0.0,0.0,124368000.0,31785000.0,450315000,41123000.0,0.0,-37661000,35051000,40734000.0,0.0,-3083296000,0.0,-27426000,0.0,-23837000.0,0.0,0.0,222173000,762576000,540403000,450315000,-191205000,259110000,https://www.sec.gov/Archives/edgar/data/1138118/000119312517064772/0001193125-17-064772-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312517064772/d291832d10k.htm
4,2015-12-31,CBRE,USD,2016-02-29 00:00:00,2016-02-29 13:32:36,FY,558877000,314096000,-14935000.0,74709000,-12065000,0.0,0.0,0.0,142887000.0,-4908000.0,651897000,1531000.0,0.0,-40287000,42572000,-16911000.0,0.0,-3308262000,0.0,-24523000,0.0,-45011000.0,0.0,0.0,-200481000,540403000,740884000,651897000,-139464000,512433000,https://www.sec.gov/Archives/edgar/data/1138118/000119312516484680/0001193125-16-484680-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312516484680/d215062d10k.htm
