,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-02-01,BBY,USD,2020-03-23 00:00:00,2020-03-23 16:42:52,FY,1541000000,812000000,70000000,143000000,-560000000,-131000000,237000000,47000000,797000000,205000000,2565000000,-743000000,-145000000.0,-1333000000,0.0,1326000000,-895000000,-15000000,48000000.0,-955000000,-527000000,-1000000.0,-1498000000,-1000000.0,171000000,2151000000,1980000000,2565000000,-743000000,1822000000,https://www.sec.gov/Archives/edgar/data/764478/000076447820000017/0000764478-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447820000017/bby-20200201x10k.htm
1,2019-02-02,BBY,USD,2019-03-28 00:00:00,2019-03-28 16:42:20,FY,1464000000,770000000,10000000,123000000,-655000000,28000000,-194000000,432000000,1357000000,144000000,2408000000,-819000000,-787000000.0,-1505000000,0.0,3605000000,508000000,-546000000,38000000.0,-1467000000,-497000000,492000000.0,-2018000000,-14000000.0,884000000,1985000000,1101000000,2408000000,-819000000,1589000000,https://www.sec.gov/Archives/edgar/data/764478/000076447819000009/0000764478-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447819000009/bby-2019x10k.htm
2,2018-02-03,BBY,USD,2018-04-02 00:00:00,2018-04-02 17:22:02,FY,1000000000,683000000,162000000,129000000,-1382000000,315000000,-335000000,-196000000,2012000000,126000000,2141000000,-688000000,0.0,-6329000000,0.0,6015000000,-1002000000,-46000000,0.0,-1841000000,-409000000,162000000.0,-2297000000,25000000.0,-1133000000,1107000000,2240000000,2141000000,-688000000,1453000000,https://www.sec.gov/Archives/edgar/data/764478/000076447818000013/0000764478-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447818000013/bby-2018x10k.htm
3,2017-01-28,BBY,USD,2017-03-24 00:00:00,2017-03-24 16:49:37,FY,1228000000,654000000,201000000,108000000,433000000,-185000000,193000000,518000000,3394000000,130000000,2557000000,-582000000,0.0,-3743000000,0.0,3438000000,-877000000,-394000000,0.0,-527000000,-505000000,193000000.0,-1418000000,10000000.0,272000000,2248000000,1976000000,2557000000,-580000000,1977000000,https://www.sec.gov/Archives/edgar/data/764478/000076447817000008/0000764478-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447817000008/bby-2017x10k.htm
4,2016-01-30,BBY,USD,2016-03-23 00:00:00,2016-03-23 16:26:21,FY,897000000,657000000,49000000,104000000,-991000000,123000000,86000000,-536000000,2961000000,265000000,1343000000,-649000000,0.0,-3281000000,0.0,3511000000,-526000000,-28000000,0.0,-1008000000,-499000000,12000000.0,-1536000000,-38000000.0,-757000000,1675000000,2432000000,1343000000,-649000000,694000000,https://www.sec.gov/Archives/edgar/data/764478/000076447816000064/0000764478-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447816000064/bby-2016x10k.htm
