,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,FISV,USD,2020-02-27,2020-02-27 17:10:23,FY,914000000,1651000000,47000000,229000000,36000000,-7000000.0,0.0,238000000,99000000.0,124000000.0,2795000000,0.0,0.0,-45000000.0,0.0,5000000.0,0.0,-5043000000,156000000,-561000000,0.0,-391000000.0,0.0,-50000000.0,518000000,933000000,415000000,2795000000,-721000000,2074000000,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/0000798354-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/fisv1231201910-k.htm
1,2018-12-31,FISV,USD,2019-02-21,2019-02-21 17:08:31,FY,1187000000,556000000,133000000,73000000,-169000000,-108000000.0,0.0,116000000,-34000000.0,-10000000.0,1552000000,0.0,0.0,-3000000.0,0.0,-7000000.0,0.0,-4005000000,75000000,-1946000000,0.0,-5000000.0,0.0,0.0,90000000,415000000,325000000,1552000000,-360000000,1192000000,https://www.sec.gov/Archives/edgar/data/798354/000079835419000005/0000798354-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835419000005/fisv1231201810-k.htm
2,2017-12-31,FISV,USD,2018-02-22,2018-02-22 17:17:45,FY,1232000000,433000000,-247000000,63000000,-15000000,-75000000.0,0.0,54000000,61000000.0,-4000000.0,1483000000,0.0,0.0,-10000000.0,0.0,7000000.0,0.0,-1985000000,78000000,-1223000000,0.0,0.0,0.0,0.0,25000000,325000000,300000000,1483000000,-287000000,1196000000,https://www.sec.gov/Archives/edgar/data/798354/000079835418000005/0000798354-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835418000005/fisv1231201710-k.htm
3,2016-12-31,FISV,USD,2017-02-23,2017-02-23 16:49:12,FY,930000000,411000000,21000000,68000000,33000000,-88000000.0,0.0,178000000,11000000.0,-2000000.0,1431000000,0.0,0.0,-1000000.0,0.0,2000000.0,0.0,-1863000000,79000000,-1245000000,0.0,51000000.0,0.0,0.0,25000000,300000000,275000000,1431000000,-290000000,1141000000,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/0000798354-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/fisv1231201610-k.htm
4,2015-12-31,FISV,USD,2016-02-19,2016-02-19 16:54:19,FY,712000000,417000000,20000000,65000000,76000000,-2000000.0,0.0,148000000,-4000000.0,5000000.0,1346000000,0.0,0.0,0.0,1000000.0,-2000000.0,0.0,-2707000000,71000000,-1522000000,0.0,32000000.0,0.0,0.0,-19000000,275000000,294000000,1346000000,-359000000,987000000,https://www.sec.gov/Archives/edgar/data/798354/000162828016011435/0001628280-16-011435-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000162828016011435/fisv-12312015x10k.htm
