,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,24.770254868934632,2.1715448466449483,7.016096985345288,5.463544765958305,8.463388435586843,140.47417018830245,38.15352146769004,140.47417018830245,46.01912777738555,3.95817283754E10,4.70289563754E10,91.91949238736407,8.058346636163826,28.449906039914385,36.53439452783341,1.4209537577793194,1.4209537577793194,9.574509450818544,27.093487207592105,33.80270253349798,43.408272376477974,0.010879085317245152,0.027371467706633498,0.5968037762548605,0.3737489760041791,4.290364747612489,1.2199010657254146,,3.2309242870048047,5.871395958152154E-4,0.05396957360785671,0.4166769139060875,0.4166769139060875,0.8299069369396631,4.519073109254616,15.954538958254837,3.0675029558122313,0.018248365395656094,82.84644897689041,0.01934966285269223,0.056915974282581,-71.98619249815934,7.87102E8,-9.058648E9,-1.2257967E10,,6.21816E8,1.4994345E9,,66.52419882196108,320.7105930505453,0.0,5.486725228767515,1.1380977364301605,,0.01545867716274132,1.5525522193869832
1,2018-12-31,21.21587929817485,2.848977765453262,6.970870727034385,5.6266512050015125,7.631327518402743,25.15508092164969,27.735208480387215,25.15508092164969,32.33237748310981,1.79751892544E10,2.18945542544E10,39.763455290419486,5.339641992106622,16.251226630936948,20.1336809182878,4.503471897102951,4.503471897102951,6.5039137914296905,16.69544303447666,19.794693571001066,24.523690013351377,0.025148719916222615,0.04966801669592773,2.314814550357806,0.6983239982785587,2.9886671511328653,1.032915419963165,3.707,2.4467971675887563,3.52263328657307E-4,0.014007207119519171,0.4557724858200208,0.4557724858200208,0.6673814396648299,5.185812743213465,15.783046556331755,2.6928313563692625,0.01717757368034254,40.15583382603385,0.07398550554428289,0.10272061836015761,-48.95122642936372,1.07588E8,-4.838566E9,-5.863159E9,5752032000.0,3.484E8,1.176703E9,0.0,37.77545281766748,392.2293185292608,0.0,9.662359357060849,0.9305780643033968,0.0,0.11325655339082183,1.3442195220328728
2,2017-12-31,25.703922354706048,3.028897136797455,3.3131676279647206,2.136946175930476,8.637812637405272,24.53590642216072,33.05725111864056,24.53590642216072,30.130331324522153,1.71594281252E10,2.04832891252E10,36.632178310722104,4.316660253982039,33.48912957602442,51.922271721087014,4.522152069335651,4.522152069335651,5.152817412820556,19.412882212864847,39.97612966189685,61.97985713395243,0.027298403920121336,0.019259557928661918,2.4254780635373,0.708069944851039,3.1501641016017796,1.1278934581545712,3.0992,1.093852804611197,3.9232076680419884E-4,0.014371564284570636,0.3743891759910222,0.3743891759910222,0.6066823464316122,2.8167889832604933,21.852961710783102,2.7281877903301175,0.009834816836441676,40.891644329780746,0.060862431593908355,0.09162580173187777,-49.40945962548172,4.87989E8,-4.091172E9,-4.899963E9,5255807000.0,3.251435E8,1.108155E9,0.0,27.719304843600124,196.8097889200259,0.0,13.167718384693611,1.8545825489824521,0.0,0.12344753377693715,1.1762214520342447
3,2016-12-31,,,,,,,,,,,3.275833E9,,,,,,,,,,,,,3.053666748897955,0.7533097657147412,,1.0925855798616808,17.5932,,,,,,0.6463484413020953,0.1203,,,,,0.0,0.0,,2.6405E8,-4.262095E9,-4.917553E9,,3.11716E8,9.90795E8,7827000.0,,,,0.0,0.0,,0.0,
4,2016-05-31,21.908545251126366,2.05365728281576,4.422311088264642,3.729929545523268,7.897614223942427,20.761966677753925,25.822011732333465,20.761966677753925,34.13327386532007,9.39811678E9,1.286867478E10,34.594379789889054,3.2427986060072804,16.065129427129186,19.047276666463997,3.4218819971483456,3.4218819971483456,4.440306671497335,20.998938979317096,21.997697063765703,26.081098437404997,0.028906429485759166,0.05250094370502172,2.8267044751164767,0.7386785401113154,5.6632121731326235,1.1730385439298114,-3.0345,2.1533831984863765,5.787329661166436E-4,0.020020908026768165,0.45738384831702983,0.45738384831702983,0.6749900475282856,6.387101352753,31.642301099453004,2.0513041674400325,0.010630574676949089,30.973443328928063,0.05259699390227676,0.07953126596423309,-49.19369689456019,4.20606E8,-4.347637E9,-4.912163E9,4834126000.0,3.15006E8,9.365585E8,0.0,35.466894398150544,221.49047740622268,0.0,10.29128730309788,1.6479263771262496,0.0,0.09891439065915741,0.6923815427413746
5,2015-05-31,41.37654394653619,4.1476221731606895,6.335416790977982,4.954815323109971,9.707306521868846,11.306999224297392,55.81447282057402,11.306999224297392,25.993496031982815,3.4484390976E9,4.5402000976E9,12.402672628398793,1.243255117355117,8.119686785762218,10.382142753145407,4.549535997973551,4.549535997973551,1.6368643451136706,7.642122224129864,10.690344730998985,13.669084535647944,0.0806277832174872,0.09631923041098976,6.64344517504512,0.8691689444879027,1.8376659226866767,1.094960250724161,5.9391,1.5274816573154941,0.0015485266953725423,0.019205869659041863,0.46688740528056566,0.46688740528056566,0.35418175529054047,4.588881685575364,29.969940572663425,1.4857374392220422,0.007591254770672433,32.48362842461796,0.16438283667741438,0.07431087249527539,-63.10678590608031,2.86391E8,-1.293993E9,-1.733277E9,2394101000.0,2.75395E8,7.44675E8,0.0,26.632970619219403,111.6479536878233,1.866947393961689,13.70481743169129,3.2692045661720726,195.50631216526395,0.36681900218476576,1.3806014678680112
6,2014-05-31,35.416963629556705,3.4011286900816704,2.691357339952024,1.5625147325947393,8.068220579874929,13.827521180271496,29.7590371469377,13.827521180271496,19.32471332103884,2.6100731528E9,3.4218801528E9,10.640938140782598,1.021860608338462,13.447192412080495,23.162149607319392,2.6173310116954314,2.6173310116954314,1.339688326685553,6.486140464925849,17.629651788271904,30.366237035327945,0.09397667637662388,0.04317388571240354,3.0298247039039254,0.7518502482176851,1.5387722530555303,1.3564044112913476,9.6874,0.7913129978881795,0.0022056853057256577,0.023470560896259877,0.4711827724611195,0.4711827724611195,0.46594204521418886,2.3841741288032328,31.374580830600287,1.4994165407623048,0.011664153194927956,32.52931796819602,0.14445827478988482,0.1142889359386299,-31.549279662779572,4.31826E8,-8.75231E8,-1.377979E9,2186509000.0,2.81487E8,7.334045E8,3318000.0,30.662597348091563,111.20133371839638,2.5436635249022026,11.903753483646668,3.282334732821796,143.49382157926462,0.24596806945660316,1.1288426073572846
7,2013-05-31,30.551815037226586,2.7791351087222087,3.0931629097174893,1.8254015199249038,8.750112515591447,14.73742075687631,21.602813532732394,14.73742075687631,12.497190324945029,1.7871245435E9,2.0701235435E9,8.268939472527473,0.7521811706439981,7.429450265229935,12.58928501437065,1.5593298433362273,1.5593298433362273,0.8712923539609659,4.413900063112872,8.60593625959276,14.58285344402491,0.12093449266648719,0.07943262852961876,1.7267227125387734,0.633259371992054,0.6034080950786885,1.7248513734991777,42.525357142857146,1.1129947946790053,0.0034681410551620014,0.028677848467322152,0.4713368236260182,0.4713368236260182,0.4624141135390854,2.4398620549751495,24.09902627041282,1.1338675322040774,0.007755722723337415,30.356858818766863,0.14755124245025283,0.12864690539087825,-14.799288258515823,5.10378E8,-2.98985E8,-7.64479E8,1446332000.0,2.689175E8,7.197965E8,8846500.0,29.101858519825768,111.30684685207204,4.681501029492794,12.542154300947555,3.2792232492677544,77.96644659491724,0.18857676350357958,1.2677613897925855
8,2012-05-31,27.957312664121073,2.386951502619594,-2.2006495071610703,-2.2006495071610703,9.911009907521343,14.86995902523183,21.226553679483438,14.86995902523183,5.947100686295653,1.6876737097E9,1.3583547097E9,8.969306656002042,0.7657853334192437,-9.728627812076668,-9.728627812076668,1.4397685940944427,1.4397685940944427,0.6163561761320092,3.3420135163661775,-7.830262053321804,-7.830262053321804,0.11149133799888805,-0.1027894189516271,1.293277335298895,0.5639428408384524,-0.8102364878163997,1.4914145123822833,18.242462013295345,-0.9219498195694114,0.0037394669145624365,0.033540425486684275,0.46614125209236396,0.46614125209236396,0.3775375789160026,0.4099,0.0499,-1.1087,0.007437449151415683,28.25972573082231,0.16605757978191735,0.11245120327407206,-7.516656306689162,4.11454E8,1.57309E8,-2.6722E8,583084000.0,2.65681E8,7.46508E8,10460500.0,30.302071786290064,147.1212007299084,4.587871899036133,12.04538100807818,2.480947668922871,79.55758313057584,0.16052172696436737,0.0
9,2011-05-31,11.6162,1.3069,4.4332,3.818,8.4587,7.398,13.925,7.3985,3.9022,4159522496.16,-1.000266E9,19.8321,2.2365,5.8604,0.0,3.5115,65.6097,-0.5378346727232254,-2.4170881350116353,-1.4092779089623146,-1.636467152568161,0.0504,0.1469,1.8285622628288738,0.6464635008600129,-2.4170881350116353,1.2794385625784082,18.25857606959969,3.3921754174671905,0.0015,0.03052982727802789,0.4641305902456283,0.4641305902456283,0.3346147222634263,7.203101373088281,18.874148796898627,0.8345799039954535,0.00854123180854736,14.7667,0.17395852514496368,0.09385420432637748,-0.0074,4.03611E8,6.3398E7,-3.18021E8,55509000.0,2.5747E8,7.091405E8,8752000.0,32.68471589986461,132.59205403771634,4.193276262110593,11.167299147351988,2.752804477228887,87.04410994764397,0.17664146690473476,-0.6155
